pid,LastName,FirstName,GP,Goals,Assists,+-,PIM,PPP,GWG,Shots,AvgTOI,WINS,GA,Saves
8475191,Smith,Reilly,63,21,37,32,22,14,4,156,1081,0,0,0
8477493,Barkov,Aleksander,59,21,38,2,14,12,2,196,1343,0,0,0
8473994,Benn,Jamie,63,21,34,17,48,16,3,176,1174,0,0,0
8475169,Kane,Evander,62,20,22,-12,59,9,2,229,1160,0,0,0
8477934,Draisaitl,Leon,59,20,37,7,24,6,1,152,1152,0,0,0
8476455,Landeskog,Gabriel,59,20,26,7,25,12,1,134,1198,0,0,0
8466139,Marleau,Patrick,66,20,14,1,14,5,5,168,1024,0,0,0
8474190,Simmonds,Wayne,59,20,17,-7,55,16,4,134,1107,0,0,0
8477511,Mantha,Anthony,61,20,16,-1,41,12,2,145,1031,0,0,0
8476346,Gaudreau,Johnny,65,20,52,11,24,23,3,188,1167,0,0,0
8477404,Guentzel,Jake,64,20,18,-11,36,11,1,142,994,0,0,0
8475907,Ferland,Micheal,61,20,14,7,24,6,0,116,927,0,0,0
8475225,Smith,Craig,61,20,19,10,18,12,2,179,938,0,0,0
8478420,Rantanen,Mikko,62,20,39,-4,30,24,2,137,1117,0,0,0
8467875,Sedin,Daniel,63,20,24,-16,22,18,4,137,899,0,0,0
8477942,Fiala,Kevin,61,20,20,11,16,12,3,144,923,0,0,0
8475784,Skinner,Jeff,63,20,18,-26,30,9,1,210,1016,0,0,0
8470606,Brown,Dustin,63,19,25,22,56,9,4,162,1173,0,0,0
8475913,Stone,Mark,53,19,38,9,10,10,3,123,1238,0,0,0
8476456,Huberdeau,Jonathan,60,19,38,3,22,16,3,149,1176,0,0,0
8470041,Nash,Rick,62,19,10,-8,24,4,2,199,1025,0,0,0
8474641,Henrique,Adam,63,19,19,3,14,10,6,120,1072,0,0,0
8475744,Kuznetsov,Evgeny,64,19,42,1,44,20,5,145,1125,0,0,0
8475798,Granlund,Mikael,58,19,34,8,14,18,2,161,1128,0,0,0
8475768,Schwartz,Jaden,45,18,27,18,22,9,2,106,1154,0,0,0
8478550,Panarin,Artemi,63,18,34,10,22,15,3,174,1222,0,0,0
8475158,O'Reilly,Ryan,63,18,28,-11,2,15,2,172,1240,0,0,0
8476981,Anderson,Josh,61,18,11,-3,40,4,5,184,1093,0,0,0
8474870,Johnson,Tyler,63,18,27,8,20,12,3,142,1028,0,0,0
8474884,Hoffman,Mike,62,18,24,-18,18,18,3,197,1094,0,0,0
8476459,Zibanejad,Mika,55,18,14,-20,6,15,3,159,1062,0,0,0
8478445,Barzal,Mathew,64,18,49,6,20,19,3,138,1044,0,0,0
8471218,Wheeler,Blake,63,18,55,8,38,33,2,195,1218,0,0,0
8473544,Brassard,Derick,59,18,20,-1,30,5,2,166,1099,0,0,0
8474149,Dadonov,Evgenii,52,18,23,-4,8,11,4,135,1136,0,0,0
8479343,Keller,Clayton,62,17,27,-14,22,13,3,157,1087,0,0,0
8476288,Dzingel,Ryan,60,17,11,-16,27,5,1,100,970,0,0,0
8470598,Vanek,Thomas,61,17,24,-12,28,14,1,121,838,0,0,0
8477500,Horvat,Bo,46,17,17,6,8,10,2,114,1139,0,0,0
8475168,Duchene,Matt,62,17,22,-17,8,7,2,140,1077,0,0,0
8475763,Hayes,Kevin,58,17,14,3,14,5,3,131,1023,0,0,0
8474157,Pacioretty,Max,63,17,20,-14,30,15,4,212,1146,0,0,0
8471887,Hornqvist,Patric,52,17,15,-3,44,16,0,169,1027,0,0,0
8473573,Anisimov,Artem,53,17,7,-6,14,10,6,96,1007,0,0,0
8477951,Schmaltz,Nick,59,17,25,1,16,12,2,95,1112,0,0,0
8478483,Marner,Mitchell,66,17,36,-5,16,18,1,156,956,0,0,0
8478131,Kase,Ondrej,48,17,14,16,8,2,3,109,838,0,0,0
8476887,Forsberg,Filip,48,17,25,11,32,18,3,123,1064,0,0,0
8475151,Palmieri,Kyle,44,17,13,1,28,14,4,131,1044,0,0,0
8475193,Tatar,Tomas,63,16,12,-8,24,11,3,144,1000,0,0,0
8476454,Nugent-Hopkins,Ryan,46,16,15,-4,20,7,1,106,1059,0,0,0
8473604,Toews,Jonathan,63,16,24,4,36,7,0,185,1176,0,0,0
8473618,Perreault,Mathieu,51,16,21,10,28,12,1,100,892,0,0,0
8477960,Kempe,Adrian,63,16,15,12,45,4,3,96,802,0,0,0
8477425,Wood,Miles,60,16,11,-4,73,3,1,135,768,0,0,0
8477943,Perlini,Brendan,55,16,8,-6,12,9,1,105,902,0,0,0
8478414,Meier,Timo,63,16,10,1,41,3,2,163,886,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
